geocode_name;lat;lon;workers
afyonkarahisar;38.75667;30.54333;0.0
ningbo;29.87819;121.54945;0.0
shantou;23.36814;116.71479;0.0
shanghai;31.22222;121.45806;0.0
samrong;15.00781;104.78419;0.0
ratnapura;6.6858;80.4036;0.0
rangpur;25.74664;89.25166;0.0
rabat;34.01325;-6.83255;0.0
quanzhou;25.93545;111.06752;0.0
qingdao;36.06488;120.38042;0.0
putian;25.43944;119.01028;0.0
polonnaruwa;7.93965;81.00274;0.0
phra pradaeng;13.65855;100.53362;0.0
phnom penh;11.56245;104.91601;0.0
ordu;40.97782;37.89047;0.0
noida;28.58;77.33;0.0
negombo;7.2083;79.8358;0.0
shengzhou;29.59583;120.81667;0.0
narayanganj;23.61352;90.50298;0.0
nantong;32.03028;120.87472;0.0
nanjing;32.06167;118.77778;0.0
mymensingh;24.75636;90.40646;0.0
mumbai;19.07283;72.88261;0.0
monaragala;6.8714;81.3487;0.0
mirzapur;24.10287;90.09841;0.0
mirpur;33.14782;73.75187;0.0
merkez;40.12954;26.42075;0.0
manisa;38.61202;27.42647;0.0
mae sot;16.71667;98.56667;0.0
lu'an;36.18389;113.10528;0.0
linyi;35.06306;118.34278;0.0
lahore;31.558;74.35071;0.0
shaoxing;30.00237;120.57864;0.0
shijiazhuang;38.04139;114.47861;0.0
koggala;5.9886;80.3286;0.0
weihai;37.50914;122.11356;0.0
zhumadian;32.97944;114.02944;0.0
zhuji;29.71877;120.24233;0.0
zhenjiang;32.21086;119.45508;0.0
zhangjiagang;31.865;120.53889;0.0
yiwu;29.31506;120.07676;0.0
yichun;27.83333;114.4;0.0
yantai;30.1467;107.3196;0.0
yangzhou;32.39722;119.43583;0.0
yangon;16.80528;96.15611;0.0
yancheng;29.74357;103.56679;0.0
xiangcheng;31.93667;111.91778;0.0
wuxi;26.5844;111.859;0.0
wenzhou;27.99942;120.66682;0.0
weinan;34.50355;109.50891;0.0
weifang;36.71;119.10194;0.0
sinop;42.02683;35.16253;0.0
vellore;12.9184;79.13255;0.0
vavuniya;8.7514;80.4971;0.0
unnao;26.54706;80.48781;0.0
torbali;38.1519;27.36223;0.0
tongxiang;30.63287;120.56081;0.0
tongi;36.2844;127.6199;0.0
tirupur;11.11541;77.35456;0.0
tianchang;32.68497;119.00932;0.0
thane;36.80368;9.84424;0.0
thai nguyen;37.86944;112.56028;0.0
tekirdag;40.9781;27.51101;0.0
taizhou;28.66266;121.43312;0.0
suzhou;31.30408;120.59538;0.0
suqian;33.94917;118.29583;0.0
kurunegala;7.4839;80.3683;0.0
kirklareli;41.73508;27.22521;0.0
agra;27.18333;78.01667;0.0
chittagong;22.3384;91.83168;0.0
esenler;41.0435;28.87619;0.0
dongyang;29.83291;106.45066;0.0
dongguan;23.01797;113.74866;0.0
dhaka;23.7104;90.40744;0.0
denizli;37.77417;29.0875;0.0
delhi;28.65195;77.23149;0.0
dambulla;7.86;80.65167;0.0
dalian;38.91222;121.60222;0.0
corum;40.54889;34.95333;0.0
corlu;41.15917;27.8;0.0
colombo;6.93548;79.84868;0.0
coimbatore;11.00555;76.96612;0.0
chuzhou;32.32194;118.29778;0.0
chonburi;13.3622;100.98345;0.0
chennai;13.08784;80.27847;0.0
faridabad;28.41124;77.31316;0.0
chengdu;30.66667;104.06667;0.0
chaozhou;23.65396;116.62262;0.0
changzhou;23.48492;111.27413;0.0
changshun;41.89139;113.99222;0.0
changshu;31.64615;120.74221;0.0
cairo;30.06263;31.24967;0.0
bursa;40.19559;29.06013;0.0
buca;38.3983;27.16662;0.0
beni khiar;36.46917;10.78222;0.0
batman;37.88738;41.13221;0.0
bartin;41.63583;32.3375;0.0
bangkok;13.75398;100.50144;0.0
bangalore;12.97194;77.59369;0.0
alexandria;31.20176;29.91582;0.0
faisalabad;31.41554;73.08969;0.0
foshan;23.02677;113.13148;0.0
karachi;24.8608;67.0104;0.0
huzhou;30.8703;120.0933;0.0
kanpur;26.46523;80.34975;0.0
kandy;7.2906;80.6336;0.0
kampong speu;11.45332;104.52085;0.0
kampong cham;11.99339;105.4635;0.0
jinjiang;19.72878;110.00851;0.0
jining;35.405;116.58139;0.0
jieyang;23.5418;116.36581;0.0
jiaxing;30.7522;120.75;0.0
jiangshan;36.67806;120.52917;0.0
jiangmen;22.58333;113.08333;0.0
jaipur;26.91962;75.78781;0.0
izmir;38.41273;27.13838;0.0
istanbul;41.01384;28.94966;0.0
ismailia;30.60427;32.27225;0.0
huizhou;23.11147;114.41523;0.0
fuqing;25.7294;119.37469;0.0
huidong;26.63745;102.57568;0.0
heze;35.23929;115.47358;0.0
heyuan;23.73333;114.68333;0.0
hassan;13.00715;76.0962;0.0
hangzhou;30.29365;120.16142;0.0
haining;30.53629;120.68638;0.0
gurgaon;28.4601;77.02635;0.0
guangzhou;23.11667;113.25;0.0
gizah;30.00944;31.20861;0.0
giresun;40.91698;38.38741;0.0
gaziemir;38.32392;27.12918;0.0
ganzhou;25.84664;114.9326;0.0
gampaha;7.0897;79.9925;0.0
fuzhou;27.95999;116.33333;0.0
zibo;36.79056;118.06333;0.0
